סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
3,אור הגנוז,1294,281,184,0,184,2,83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,1,0,0,0,0,0,0,58,
17,אחווה,1157,185,143,0,143,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,28,0,1,0,0,0,88,0,0,0,0,0,0,2,
17,אליאב,1365,224,197,1,196,24,0,1,0,0,0,59,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,88,0,0,0,0,0,0,0,
4,אפיק,4301,259,176,0,176,34,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,21,0,0,0,3,0,101,0,0,0,0,0,0,0,
5,ברק,141,304,219,1,218,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,92,0,0,0,1,0,93,0,0,0,0,0,0,10,
5,גדעונה,442,293,227,1,226,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,7,121,0,0,0,3,0,46,0,0,0,0,0,0,27,
5,דבורה,146,228,157,3,154,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,40,0,0,0,1,0,92,0,0,0,0,1,0,3,
5,דברת,407,327,230,2,228,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,24,0,1,0,0,0,164,0,0,0,0,0,0,4,
3,דישון,2063,296,198,1,197,7,1,0,0,0,0,14,0,0,0,0,0,0,0,0,6,104,4,0,0,4,0,39,0,0,0,0,0,0,18,
18,הר עמשא,1261,115,82,0,82,25,0,1,0,0,0,6,0,1,0,0,2,0,0,0,4,11,0,0,0,0,1,31,0,0,0,0,0,0,0,
3,כפר שמאי,605,335,263,0,263,11,13,1,0,0,0,30,0,0,0,0,0,0,1,0,1,143,1,0,0,4,0,13,0,0,0,0,0,0,45,
4,מיצר,4019,125,90,0,90,13,0,2,1,0,0,5,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,57,0,0,0,0,0,0,0,
18,מצדות יהודה,3745,329,253,1,252,3,6,0,0,0,0,191,0,0,0,0,0,0,0,0,2,35,0,0,0,3,0,4,0,0,0,0,0,0,8,
4,מצפה,58,130,92,0,92,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,26,1,0,0,0,0,49,0,0,0,0,0,0,0,
18,נווה זוהר,1057,55,21,0,21,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,5,0,0,0,0,0,0,0,
5,נורית,833,111,93,0,93,7,2,1,0,0,0,6,0,1,0,0,0,0,0,0,1,31,0,0,0,1,0,41,0,0,0,0,0,0,2,
18,ניצנה קהילת חינוך,1195,204,66,1,65,6,0,5,0,0,0,11,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,25,0,0,0,0,0,0,1,
18,עטאוונה שבט,969,110,31,0,31,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,עין קנייא,4502,146,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,
3,עמוקה,1212,143,97,2,95,20,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,53,0,0,0,0,0,0,1,
5,פרזון,2053,290,216,1,215,11,3,0,0,0,0,15,0,0,0,0,0,0,0,0,1,138,1,0,0,5,0,30,0,0,0,0,0,1,10,
3,שפר,846,321,227,0,227,13,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,138,1,0,0,2,0,39,0,0,0,0,0,0,19,
3,אביבים,1115,332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61,
2,אדורה,3759,246,191,0,191,5,4,1,0,0,0,60,0,0,0,0,0,0,0,0,4,72,1,0,0,9,0,32,0,0,0,0,0,0,3,
5,אדירים,113,233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58,
3,אודם,4010,121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1,
3,אורטל,4013,248,177,0,177,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,110,0,0,0,0,0,0,2,
17,איבים,338,126,35,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,0,3,
9,אלעריאן,1316,127,104,1,103,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
3,אלרום,4003,343,252,2,250,61,0,1,0,0,0,9,0,0,0,0,0,0,0,0,19,38,1,0,0,0,0,121,0,0,0,0,0,0,0,
17,אלומה,1145,330,280,0,280,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,182,
4,אלומות,330,300,210,0,210,50,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,24,0,0,0,1,0,119,0,0,0,0,0,0,3,
3,אלוני הבשן,4017,221,152,0,152,3,1,0,1,0,0,78,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,4,0,0,0,0,0,0,2,
9,אלוני יצחק,868,120,23,0,23,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,13,0,0,0,0,0,0,0,
18,אליפז,1248,113,74,1,73,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,49,0,0,0,0,0,0,0,
2,אלמוג,3556,193,135,1,134,31,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,26,1,0,0,0,0,68,0,0,0,0,0,0,0,
4,אמנון,1253,305,224,0,224,18,3,0,0,0,0,14,0,0,0,0,0,0,0,0,15,99,1,0,0,1,0,63,0,0,0,0,0,0,10,
18,אשל הנשיא,2021,114,73,0,73,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,27,0,0,0,0,0,0,0,
9,בית אורן,317,321,208,1,207,50,1,1,1,0,0,4,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,125,0,0,0,0,1,0,0,
5,בית זיד,353,113,74,1,73,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,41,0,0,5,1,0,0,1,
13,בית עובד,202,250,187,0,187,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,131,0,0,0,0,0,0,0,
9,בית צבי,212,68,33,0,33,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,4,
12,בן שמן כפר נוער,1084,236,167,0,167,44,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,31,0,0,0,1,0,80,0,0,0,0,0,0,5,
18,ברוש,2060,342,272,0,272,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,9,159,1,0,0,1,0,39,0,0,0,0,0,0,26,
18,גבעולים,2014,296,249,1,248,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,190,0,0,0,3,0,15,0,0,1,0,0,0,25,
19,גבעת חן,207,301,249,1,248,40,0,4,0,0,0,5,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,168,0,0,0,0,0,0,0,
17,גברעם,342,316,239,1,238,44,1,0,1,0,0,6,0,0,0,0,0,0,0,0,13,26,1,0,0,1,0,142,0,0,0,0,1,0,2,
5,גדיש,145,282,210,0,210,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,168,0,0,0,3,0,8,0,0,0,0,0,0,18,
3,גונן,852,343,234,0,234,56,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,156,0,0,0,0,0,0,0,
2,גיזו,1043,146,113,0,113,22,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,32,0,0,0,0,0,0,3,
13,גן שורק,311,264,206,0,206,17,1,4,0,0,0,6,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,128,0,0,0,0,0,0,0,
12,גני הדר,1103,258,202,0,202,31,1,0,0,0,0,7,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,123,0,0,0,0,0,0,0,
19,גני עם,218,212,167,0,167,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,98,0,0,0,0,0,0,0,
18,גרופית,1129,289,169,0,169,35,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,108,1,0,0,0,0,0,0,
4,גשור,4022,220,153,2,151,14,0,0,5,0,0,2,0,0,0,0,0,0,0,0,11,30,0,0,0,1,0,86,0,0,0,0,0,0,2,
9,דור,738,285,222,0,222,14,0,1,0,0,0,5,0,0,0,0,1,0,0,0,3,52,0,0,0,0,0,143,0,0,0,0,0,0,3,
4,האון,702,154,87,1,86,20,2,0,1,0,0,2,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,40,0,0,0,0,0,0,4,
2,הראל,464,220,120,0,120,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,63,0,0,0,0,0,0,0,
17,ורדון,1133,222,172,0,172,20,4,3,0,0,0,8,0,0,0,0,0,0,0,0,6,67,0,0,0,0,0,48,0,0,0,0,0,0,16,
17,זוהר,44,264,203,0,203,5,6,0,0,0,0,11,0,0,0,0,0,0,0,0,5,129,0,0,0,1,0,24,0,0,0,0,0,0,22,
18,זרועה,2064,305,229,0,229,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,151,0,0,0,4,0,20,0,0,0,0,0,0,35,
2,חברון,3400,297,216,1,215,0,21,0,0,0,0,98,0,0,0,0,0,0,0,0,1,45,0,0,0,39,0,2,0,0,0,0,0,2,7,
2,חגי,3764,335,262,0,262,0,16,0,0,0,0,179,0,0,0,0,0,0,0,0,0,57,0,0,0,8,0,0,0,0,0,0,0,0,2,
19,חורשים,355,296,196,0,196,67,0,2,0,0,0,3,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,88,0,0,0,0,0,0,0,
3,חזון,1047,257,227,0,227,2,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,155,0,0,0,3,0,12,0,0,0,0,0,0,33,
18,טללים,1177,330,234,1,233,38,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,49,0,0,0,0,0,123,0,0,0,0,0,0,2,
4,טפחות,1214,246,203,0,203,1,2,0,0,0,0,83,0,0,0,0,0,0,0,0,1,94,0,0,0,0,0,3,0,0,0,0,0,0,19,
2,יד השמונה,1134,161,114,0,114,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,37,0,0,0,0,0,48,0,0,0,0,0,0,0,
18,יושיביה,803,337,272,1,271,3,9,0,0,0,0,24,0,0,0,0,0,0,0,0,1,135,0,0,0,1,0,0,0,0,0,0,0,0,98,
3,כדיתה,1338,126,62,2,60,7,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,16,0,0,0,0,0,0,1,
3,כורזים,1252,336,216,0,216,40,5,1,1,0,0,6,0,0,0,0,0,0,0,0,7,30,1,0,0,0,0,125,0,0,0,0,0,0,0,
4,כלנית,1229,187,155,0,155,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,114,0,0,0,1,0,2,0,0,0,0,0,1,14,
18,כמהין,1291,234,171,2,169,40,1,3,0,0,0,16,0,0,0,0,0,0,0,0,7,26,1,0,0,0,0,75,0,0,0,0,0,0,0,
2,כסלון,859,277,213,0,213,11,1,1,1,0,0,6,0,0,0,0,0,0,0,0,3,129,0,0,0,0,0,16,1,0,0,0,0,0,44,
5,כפר גדעון,106,184,134,0,134,1,50,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,4,0,13,0,0,0,0,0,0,26,
8,כפר גלים,427,94,49,1,48,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,18,0,0,0,0,0,0,0,
9,כפר גליקסון,310,284,214,0,214,59,0,6,0,0,0,4,0,0,0,0,0,0,0,0,6,14,1,0,0,0,0,124,0,0,0,0,0,0,0,
8,כפר המכבי,254,307,215,0,215,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,152,0,0,0,0,0,0,0,
19,כפר מלל,98,281,223,0,223,37,0,1,1,0,0,7,0,0,0,0,0,0,0,0,8,33,1,0,0,1,0,134,0,0,0,0,0,0,0,
17,כפר סילבר,107,87,34,0,34,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,18,0,0,0,0,0,0,0,
12,כפר רות,1166,185,149,1,148,14,3,0,0,0,0,13,0,0,0,0,0,0,0,1,3,27,0,0,0,2,0,81,0,0,0,0,0,0,4,
17,כרמי קטיף,1374,246,213,0,213,0,1,0,0,0,0,180,0,0,0,0,0,0,0,0,1,26,0,0,0,4,0,0,0,0,0,0,0,0,1,
18,כרמים,1198,215,168,1,167,43,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,68,0,0,0,0,0,0,0,
4,לבנים,1230,322,240,0,240,23,0,1,0,0,0,15,0,0,0,0,0,0,0,0,4,92,1,0,0,0,0,97,0,0,0,0,0,0,7,
9,מאיר שפיה,102,112,54,2,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,0,0,0,0,0,24,0,0,0,0,0,0,0,
9,מבוא דותן,3569,290,210,2,208,4,10,0,0,0,0,43,0,0,0,0,0,0,0,0,4,103,2,0,0,19,0,15,0,0,0,0,0,0,8,
12,מבוא מודיעים,1141,177,99,1,98,2,12,0,0,0,0,25,0,0,0,0,0,0,0,0,0,34,0,0,0,3,0,11,0,0,0,0,0,0,11,
2,מגדל עוז,3561,259,164,1,163,0,0,0,0,0,0,113,0,0,0,0,0,0,0,1,0,38,1,0,0,1,0,8,0,0,0,0,0,0,1,
5,מחנה יהודית,1413,132,95,1,94,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,33,1,0,0,0,0,43,0,0,0,0,0,0,3,
18,מחנה יפה,1415,203,164,1,163,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,4,46,1,0,0,0,0,78,0,0,0,0,0,0,0,
17,מחנה מרים,1414,105,83,1,82,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,46,0,0,0,0,0,0,2,
9,מי עמי,1128,255,198,2,196,61,1,8,1,0,0,2,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,111,0,0,0,0,0,0,0,
5,מלאה,164,276,234,2,232,6,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,163,0,0,0,2,0,22,0,0,0,0,0,0,29,
18,מלילות,2044,275,219,0,219,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,4,152,0,0,0,5,0,9,0,0,0,0,0,0,28,
3,מנרה,347,212,142,1,141,46,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,80,0,0,1,0,0,0,0,
4,מסדה,263,271,172,0,172,39,0,4,0,0,0,2,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,105,0,0,0,0,0,0,2,
4,מעגן,678,328,219,1,218,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,29,0,0,0,0,0,139,0,0,0,0,0,0,2,
18,מעון,3657,301,215,0,215,0,9,0,0,0,0,159,0,0,0,0,0,0,0,0,1,31,0,0,0,14,0,1,0,0,0,0,0,0,0,
9,מצפה אילן,1370,229,204,0,204,0,2,0,0,0,0,147,0,0,0,0,0,0,0,0,0,40,0,0,0,2,0,12,1,0,0,0,0,0,0,
16,מקווה ישראל,22,151,104,0,104,10,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,54,0,0,0,0,0,0,1,
3,מרגליות,843,342,196,0,196,32,4,1,0,0,0,4,0,0,0,0,0,0,0,0,3,95,0,1,0,3,0,43,0,0,0,0,0,0,10,
18,מרחב עם,1340,202,177,1,176,2,5,0,0,0,0,113,0,0,0,0,0,0,0,0,1,35,0,0,0,4,0,8,0,0,0,0,0,0,8,
3,משגב עם,378,259,169,1,168,59,0,1,0,0,0,2,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,87,0,0,0,0,0,0,0,
2,נגוהות,3724,142,123,1,122,0,2,0,1,0,0,78,0,0,0,0,0,0,0,0,0,22,0,0,0,15,0,1,0,0,0,0,0,0,3,
3,נווה אטיב,4303,163,98,0,98,10,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,22,1,0,0,0,0,50,0,0,1,0,0,0,1,
9,נווה ים,312,210,158,0,158,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,60,0,0,0,2,0,70,0,0,0,0,0,0,2,
17,נועם,15,313,235,1,234,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,175,0,0,0,2,0,7,0,0,0,0,0,0,42,
17,נטע,1369,245,218,2,216,0,9,0,0,0,0,180,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,4,0,0,0,0,0,0,5,
2,נטף,1254,345,246,0,246,111,0,15,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,113,0,0,0,0,0,0,0,
18,ניצני סיני,1280,205,129,0,129,22,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,26,0,0,0,0,0,60,0,0,0,0,0,0,0,
17,ניצנים,359,343,254,2,252,78,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,160,0,0,0,0,0,0,0,
2,נעמה,3713,145,88,0,88,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,40,0,0,0,0,0,0,2,
13,נצר חזני,1372,261,227,0,227,0,18,0,0,0,0,113,0,0,0,0,0,0,0,0,0,69,0,0,0,10,0,4,0,0,0,0,0,0,13,
2,נתיב הגדוד,3555,233,167,1,166,46,0,2,1,0,0,5,0,0,0,0,0,0,0,0,6,44,0,0,0,0,0,60,0,0,0,1,1,0,0,
6,סואעד חמרייה,942,150,84,2,82,8,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
18,סמר,1156,230,147,0,147,75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,62,0,0,0,0,0,0,0,
18,סנסנה,3777,259,236,0,236,1,3,0,0,0,0,185,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,10,0,0,0,0,0,0,2,
2,עגור,794,302,242,0,242,10,14,1,0,0,0,2,0,0,0,0,0,0,0,0,1,160,0,0,0,2,0,17,0,0,0,0,0,0,35,
19,עדנים,2035,295,235,0,235,21,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,48,0,0,0,1,0,155,0,0,0,0,0,0,1,
18,עוקבי בנו עוקבה,957,292,174,0,174,4,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
2,עטרת,3658,299,237,0,237,1,5,0,0,0,0,174,0,0,0,0,0,0,0,0,0,46,0,0,0,9,0,1,0,0,0,0,0,0,1,
3,עין זיוון,4503,281,187,0,187,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,29,0,0,0,1,0,110,0,0,0,0,0,0,0,
9,עין חוד,1320,194,137,0,137,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2,עמיחי,3824,73,66,0,66,0,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,1,0,0,0,0,0,0,7,
4,פוריה  כפר עבודה,1104,265,184,1,183,1,2,0,0,0,0,12,0,0,0,0,1,0,0,0,2,119,0,0,0,3,0,30,0,0,0,0,0,0,13,
2,פני חבר,3723,229,175,2,173,0,35,0,0,0,0,95,0,0,0,0,0,0,0,0,0,27,0,0,0,7,0,4,0,0,0,0,0,0,5,
3,צבעון,1213,163,138,2,136,59,1,4,0,0,0,8,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,57,0,0,0,0,0,0,0,
3,קדרים,1211,188,138,0,138,41,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,79,0,0,0,0,0,1,0,
17,קוממיות,766,253,183,0,183,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
3,קלע,4024,220,142,1,141,14,1,0,0,0,0,3,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,74,0,0,0,0,0,0,1,
2,קרית ענבים,78,305,205,0,205,66,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,21,1,0,0,0,0,105,0,0,0,0,0,0,2,
9,ריחן,3568,207,156,0,156,10,1,2,0,0,0,16,0,0,0,0,0,0,0,0,7,44,0,0,0,3,0,72,0,0,0,0,0,0,1,
18,רתמים,1260,236,195,2,193,8,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,33,1,0,0,6,0,29,0,0,0,0,0,0,0,
2,שדות מיכה,27,267,202,0,202,5,1,0,0,0,0,13,0,0,0,0,0,0,0,0,4,111,0,0,0,1,0,14,0,0,0,0,0,0,53,
18,שומריה,1265,334,279,0,279,0,59,0,0,0,0,170,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,4,0,0,0,0,0,0,8,
18,שחרות,1266,130,68,0,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,33,1,0,0,0,0,0,0,
3,שעל,4009,218,166,0,166,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,48,0,0,0,0,0,86,0,0,0,0,0,0,6,
9,שער מנשה,921,136,11,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,
17,שקף,1233,293,239,0,239,47,0,0,1,0,0,7,0,0,0,0,0,0,0,0,4,50,0,0,0,0,0,128,1,0,0,0,0,0,1,
18,שרשרת,398,251,202,1,201,1,12,0,0,0,0,16,0,0,0,0,0,0,0,0,3,121,0,0,0,1,0,10,0,0,0,0,0,0,37,
18,תושיה,1083,316,254,0,254,0,10,0,1,0,0,135,0,0,0,0,0,0,0,0,1,95,0,0,0,5,0,1,0,0,0,0,0,0,6,
2,תירוש,10,331,252,0,252,2,3,0,0,0,0,10,0,0,0,0,0,0,0,0,1,136,0,0,0,1,0,5,0,0,0,0,0,0,94,
4,תל קציר,719,311,221,1,220,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,22,0,0,0,1,0,131,0,0,0,0,0,0,1,
2,תלם,3719,205,164,0,164,0,11,0,0,0,0,74,0,0,0,0,0,0,0,0,5,55,1,0,0,9,0,5,0,0,0,0,0,0,4,
5,אומן,1108,367,231,0,231,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,31,135,0,0,0,0,0,41,0,0,0,0,0,0,6,
18,אילות,1126,253,164,0,164,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,88,0,0,0,0,0,0,0,
18,אילת,2600,2416,889,1,888,30,8,16,0,0,0,39,0,0,0,0,0,0,0,0,47,431,0,0,0,1,0,259,0,0,1,0,0,1,55,
17,איתן,37,350,274,1,273,1,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,176,1,0,0,5,0,6,0,0,0,0,0,0,48,
4,אלמגור,1125,294,219,0,219,26,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,7,0,0,0,2,0,169,0,0,0,0,0,0,0,
17,אשדוד,70,22619,14240,65,14175,278,1507,4,9,0,0,381,0,0,0,0,1,1,2,3,2046,5375,5,1,0,43,1,2469,8,2,3,1,1,2,2032,
17,אשקלון,7100,13026,7539,44,7495,194,105,10,2,0,0,272,1,0,0,0,3,2,0,1,1581,3399,1,4,1,37,0,1226,1,2,2,1,1,1,648,
18,באר שבע,9000,10916,5912,65,5847,198,75,45,10,1,0,173,4,1,0,0,0,0,2,2,956,2888,4,0,1,32,1,885,1,0,2,3,3,3,557,
2,בית הערבה,3645,175,142,0,142,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,41,0,0,0,0,0,0,3,
10,בית ינאי,200,297,192,0,192,31,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,138,0,0,0,0,0,0,0,
13,בית רבן,848,331,248,0,248,0,13,0,0,0,0,122,0,0,0,0,0,0,0,0,0,77,0,0,0,6,0,1,0,0,0,0,0,0,29,
10,ביתן אהרן,252,213,77,0,77,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,50,0,0,0,0,0,0,1,
10,גבעת שפירא,1077,215,172,1,171,13,1,5,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,126,0,0,0,0,0,0,2,
13,גיבתון,196,265,217,1,216,41,2,0,2,0,0,4,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,126,0,1,0,0,0,0,1,
2,גלגל,3606,155,91,1,90,10,1,1,0,0,0,5,0,0,0,0,0,0,0,0,2,37,0,0,0,1,0,32,0,0,0,0,0,0,1,
2,גפן,39,266,224,0,224,4,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,148,0,0,0,4,0,19,0,0,0,0,0,0,38,
11,גת רימון,128,202,148,0,148,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,36,0,0,0,1,0,80,0,0,0,0,0,0,3,
3,דובב,1067,361,250,0,250,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,197,0,0,0,5,0,17,0,0,0,0,0,0,20,
18,דימונה,2200,2270,1249,13,1236,21,17,2,1,1,0,32,0,0,0,0,0,0,0,1,93,744,1,0,0,5,0,141,0,0,2,0,2,0,173,
2,ורד יריחו,3639,238,189,2,187,10,1,0,0,0,0,12,0,0,0,0,0,0,0,0,5,105,0,0,0,2,0,47,1,0,0,0,0,0,4,
10,חבצלת השרון,235,344,224,0,224,24,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,47,0,0,0,1,0,124,0,0,0,0,0,0,17,
16,חולון,6600,6476,4056,20,4036,165,49,1,1,0,0,89,1,0,0,0,0,1,0,2,220,1689,5,0,0,20,0,965,1,0,0,1,1,1,824,
13,חפץ חיים,363,335,286,0,286,1,12,0,0,0,0,166,0,0,0,0,0,0,0,0,3,86,0,0,0,4,0,6,0,0,0,0,0,0,8,
18,יהל,1158,217,121,1,120,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,5,64,0,0,0,0,0,0,0,
2,ייטב,3607,205,160,1,159,2,5,0,3,0,0,64,0,0,0,0,0,0,0,0,8,71,2,0,0,1,0,2,0,0,0,0,0,0,1,
13,יסודות,440,317,290,0,290,0,274,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,5,
